YEAR,Labor Force,Employment,Emp/Pop,Unemployed,Unemp Rate,LFPART
Nov-95,"3,324.70","3,045.60",51.2,279,8.4,55.9
Dec-95,"3,328.20","3,049.00",51.3,279.2,8.4,56
Jan-96,"3,334.80","3,054.20",51.3,280.6,8.4,56.1
Feb-96,"3,345.40","3,061.60",51.5,283.7,8.5,56.2
Mar-96,"3,358.90","3,070.80",51.6,288,8.6,56.4
Apr-96,"3,372.60","3,080.70",51.7,291.9,8.7,56.6
May-96,"3,384.30","3,090.20",51.8,294.1,8.7,56.8
Jun-96,"3,393.80","3,099.10",52,294.6,8.7,56.9
Jul-96,"3,402.10","3,107.50",52.1,294.6,8.7,57
Aug-96,"3,411.20","3,115.40",52.2,295.8,8.7,57.1
Sep-96,"3,422.70","3,122.70",52.2,300,8.8,57.3
Oct-96,"3,436.60","3,129.30",52.3,307.2,8.9,57.4
Nov-96,"3,451.50","3,135.00",52.4,316.5,9.2,57.6
Dec-96,"3,465.90","3,140.30",52.4,325.6,9.4,57.8
Jan-97,"3,479.00","3,145.80",52.5,333.2,9.6,58
Feb-97,"3,490.30","3,151.90",52.6,338.4,9.7,58.2
Mar-97,"3,500.00","3,159.30",52.7,340.7,9.7,58.3
Apr-97,"3,509.50","3,168.20",52.8,341.2,9.7,58.5
May-97,"3,519.00","3,178.30",52.9,340.7,9.7,58.6
Jun-97,"3,527.90","3,189.00",53.1,338.9,9.6,58.7
Jul-97,"3,535.20","3,200.20",53.2,334.9,9.5,58.8
Aug-97,"3,540.50","3,211.60",53.3,328.8,9.3,58.8
Sep-97,"3,544.10","3,222.80",53.5,321.3,9.1,58.8
Oct-97,"3,547.20","3,233.10",53.6,314.1,8.9,58.8
Nov-97,"3,550.20","3,241.90",53.7,308.2,8.7,58.8
Dec-97,"3,552.80","3,249.10",53.7,303.7,8.5,58.8
Jan-98,"3,554.70","3,254.80",53.8,299.9,8.4,58.8
Feb-98,"3,555.90","3,259.90",53.8,296,8.3,58.7
Mar-98,"3,556.10","3,264.60",53.9,291.5,8.2,58.7
Apr-98,"3,555.10","3,269.20",53.9,285.9,8,58.6
May-98,"3,553.80","3,273.70",53.9,280.1,7.9,58.6
Jun-98,"3,554.20","3,278.50",54,275.8,7.8,58.5
Jul-98,"3,557.20","3,283.20",54,274,7.7,58.5
Aug-98,"3,562.20","3,288.30",54,274,7.7,58.5
Sep-98,"3,568.70","3,294.10",54.1,274.6,7.7,58.6
Oct-98,"3,574.30","3,300.50",54.1,273.8,7.7,58.6
Nov-98,"3,577.40","3,306.70",54.2,270.7,7.6,58.6
Dec-98,"3,577.50","3,311.70",54.2,265.8,7.4,58.6
Jan-99,"3,575.00","3,315.40",54.3,259.6,7.3,58.5
Feb-99,"3,572.20","3,318.10",54.3,254,7.1,58.4
Mar-99,"3,571.90","3,321.30",54.3,250.5,7,58.4
Apr-99,"3,575.90","3,326.20",54.3,249.7,7,58.4
May-99,"3,584.20","3,333.30",54.4,250.9,7,58.5
Jun-99,"3,594.90","3,342.50",54.5,252.4,7,58.6
Jul-99,"3,605.00","3,352.50",54.7,252.5,7,58.8
Aug-99,"3,612.30","3,362.30",54.7,250,6.9,58.8
Sep-99,"3,615.80","3,371.20",54.8,244.6,6.8,58.8
Oct-99,"3,617.70","3,380.20",54.9,237.5,6.6,58.7
Nov-99,"3,621.40","3,391.10",55,230.3,6.4,58.7
Dec-99,"3,628.60","3,404.00",55.1,224.6,6.2,58.7
Jan-00,"3,639.40","3,418.40",55.3,221,6.1,58.8
Feb-00,"3,651.50","3,432.40",55.4,219.1,6,59
Mar-00,"3,661.90","3,443.80",55.5,218.1,6,59.1
Apr-00,"3,668.60","3,451.00",55.7,217.6,5.9,59.2
May-00,"3,670.10","3,453.70",55.7,216.4,5.9,59.2
Jun-00,"3,666.90","3,452.60",55.7,214.3,5.8,59.1
Jul-00,"3,661.80","3,450.30",55.6,211.5,5.8,59
Aug-00,"3,657.60","3,449.20",55.5,208.3,5.7,58.9
Sep-00,"3,655.50","3,450.60",55.5,204.9,5.6,58.8
Oct-00,"3,655.50","3,454.20",55.6,201.3,5.5,58.8
Nov-00,"3,656.30","3,458.30",55.6,198.1,5.4,58.8
Dec-00,"3,656.80","3,461.30",55.6,195.6,5.3,58.7
1-Jan,"3,655.00","3,461.00",55.6,194.1,5.3,58.7
1-Feb,"3,650.30","3,456.80",55.5,193.5,5.3,58.6
1-Mar,"3,643.90","3,450.30",55.3,193.6,5.3,58.4
1-Apr,"3,637.00","3,442.00",55.2,195,5.4,58.3
1-May,"3,631.90","3,433.50",55,198.5,5.5,58.2
1-Jun,"3,630.80","3,426.20",54.8,204.6,5.6,58.1
1-Jul,"3,634.20","3,420.40",54.7,213.9,5.9,58.1
1-Aug,"3,641.70","3,415.50",54.6,226.2,6.2,58.2
1-Sep,"3,652.30","3,411.90",54.5,240.4,6.6,58.4
1-Oct,"3,664.30","3,409.60",54.5,254.8,7,58.5
1-Nov,"3,676.10","3,408.00",54.4,268,7.3,58.7
1-Dec,"3,686.90","3,407.70",54.4,279.2,7.6,58.9
2-Jan,"3,697.30","3,409.40",54.4,287.9,7.8,59
2-Feb,"3,706.90","3,412.70",54.4,294.2,7.9,59.1
2-Mar,"3,714.60","3,416.20",54.5,298.4,8,59.2
2-Apr,"3,720.70","3,420.60",54.5,300.1,8.1,59.3
2-May,"3,725.50","3,425.90",54.6,299.6,8,59.3
2-Jun,"3,728.40","3,430.60",54.6,297.7,8,59.4
2-Jul,"3,729.00","3,433.40",54.7,295.6,7.9,59.4
2-Aug,"3,728.20","3,433.40",54.6,294.8,7.9,59.3
2-Sep,"3,727.20","3,430.60",54.6,296.6,8,59.3
2-Oct,"3,725.70","3,425.10",54.4,300.6,8.1,59.2
2-Nov,"3,723.70","3,418.60",54.3,305.1,8.2,59.2
2-Dec,"3,721.00","3,412.40",54.2,308.6,8.3,59.1
3-Jan,"3,718.00","3,407.40",54.1,310.5,8.4,59
3-Feb,"3,715.40","3,404.30",54,311.1,8.4,58.9
3-Mar,"3,713.30","3,402.80",53.9,310.5,8.4,58.9
3-Apr,"3,710.90","3,401.00",53.9,309.9,8.4,58.8
3-May,"3,707.80","3,397.70",53.8,310.1,8.4,58.7
3-Jun,"3,705.10","3,394.20",53.7,310.8,8.4,58.7
